SQL structure,Amount of samples,Share of the total
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> UNION SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",2,0.02%
SELECT <ent> FROM <ent> UNION SELECT <ent> FROM <ent> EXCEPT SELECT <ent> FROM <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> ASC LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> ORDER BY <ent> LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> UNION SELECT <ent> , <ent> FROM <ent> WHERE <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> EXCEPT SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent> INTERSECT SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> WHERE <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> ASC",2,0.02%
"SELECT <ent> , <ent> FROM <ent> EXCEPT SELECT <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent> DESC,2,0.02%
"SELECT <ent> , <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> ASC",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> ASC",2,0.02%
"SELECT <ent> , <ent> FROM <ent> GROUP BY <ent> HAVING <ent> SELECT <ent> FROM <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> GROUP BY <ent> , <ent> ORDER BY <ent> LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> ORDER BY <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> ORDER BY <ent> LIMIT <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> DESC",2,0.02%
"SELECT <ent> FROM <ent> WHERE <ent> , <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> ORDER BY <ent> , <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> HAVING <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> LIMIT <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> , <ent> , <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> , <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> GROUP BY <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> GROUP BY <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
SELECT <ent> FROM <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> , <ent>",2,0.02%
"SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> , <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> ORDER BY <ent> ASC LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> , <ent> FROM <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> , <ent> FROM <ent> WHERE <ent> ORDER BY <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> GROUP BY <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> , <ent> FROM <ent> GROUP BY <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> ORDER BY <ent>",2,0.02%
SELECT <ent> FROM <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> ASC",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> UNION SELECT <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> EXCEPT SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> , <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> DESC,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent> UNION SELECT <ent> , <ent> FROM <ent> WHERE <ent>",2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> UNION SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> ASC",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> ORDER BY <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent>",2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent> INTERSECT SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> ORDER BY <ent> ASC,2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent> SELECT <ent> FROM <ent>,2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent> UNION SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent>",2,0.02%
SELECT <ent> FROM <ent> SELECT <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> ORDER BY <ent> DESC , <ent> ASC",2,0.02%
"SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> , <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> , <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> INTERSECT SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent> GROUP BY <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> UNION SELECT <ent> FROM <ent> JOIN <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> ORDER BY <ent> ASC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent>,2,0.02%
SELECT <ent> FROM <ent> UNION SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
SELECT <ent> FROM <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> ORDER BY <ent> , <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> INTERSECT SELECT <ent> FROM <ent> WHERE <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC",2,0.02%
SELECT <ent> FROM <ent> SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent>,2,0.02%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> , <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> ORDER BY <ent> LIMIT <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> ASC <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> DESC LIMIT <ent>",2,0.02%
SELECT <ent> FROM <ent> WHERE <ent> GROUP BY <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC <ent>",2,0.02%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> , <ent> ORDER BY <ent> DESC <ent>",2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> DESC LIMIT <ent>,2,0.02%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> HAVING <ent>,2,0.02%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> ORDER BY <ent> DESC",1,0.01%
"SELECT <ent> , <ent> , <ent> FROM <ent> EXCEPT SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent>",1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent>,1,0.01%
SELECT <ent> FROM <ent> GROUP BY <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,1,0.01%
"SELECT <ent> , <ent> , <ent> FROM <ent> EXCEPT SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent>",1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>,1,0.01%
SELECT <ent> FROM <ent> SELECT <ent> FROM <ent> WHERE <ent> GROUP BY <ent> HAVING <ent>,1,0.01%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> , <ent>",1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> SELECT <ent> FROM <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent> DESC,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> EXCEPT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> , <ent> , <ent> ORDER BY <ent> DESC LIMIT <ent>",1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> ASC LIMIT <ent>",1,0.01%
"SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> , <ent>",1,0.01%
"SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> , <ent>",1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> UNION SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> EXCEPT SELECT <ent> , <ent> FROM <ent> JOIN <ent>",1,0.01%
"SELECT <ent> FROM <ent> WHERE <ent> ORDER BY <ent> , <ent> DESC",1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> ORDER BY <ent> ASC",1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent> ORDER BY <ent>,1,0.01%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent>",1,0.01%
"SELECT <ent> , <ent> , <ent> , <ent> FROM <ent> ORDER BY <ent>",1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> DESC",1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> ORDER BY <ent> DESC LIMIT <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent> ORDER BY <ent> DESC LIMIT <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>,1,0.01%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> JOIN <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> SELECT <ent> FROM <ent> ORDER BY <ent> DESC LIMIT <ent>,1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent> , <ent>",1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> IN <ent> GROUP BY <ent> HAVING <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> ORDER BY <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent>,1,0.01%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> HAVING <ent>",1,0.01%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> , <ent> ORDER BY <ent> DESC <ent>",1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> HAVING <ent>,1,0.01%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,1,0.01%
